algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity,encoder,random_seed
DecisionTree,0.0109448432922363,0.0062703132629394,0.7685349764571104,0.7695704779189352,0.7715178273019623,0.7695704779189352,0.8455284552845529,0.819672131147541,0.8620689655172413,0.8403361344537815,0.6917381614096196,0.8620689655172413,0.8307692307692308,CRAJ730102_physicochemical_properties,42
RandomForest,0.1312485218048095,0.0104852676391601,0.8143246858583169,0.8149425287356322,0.818029005241096,0.8149425287356322,0.8048780487804879,0.7833333333333333,0.8103448275862069,0.7966101694915254,0.6095369584993867,0.8103448275862069,0.8,CRAJ730102_physicochemical_properties,42
AdaBoost,0.133158540725708,0.0129759788513183,0.7970225487993202,0.7973986690865094,0.7990594916383058,0.7973986690865094,0.8211382113821138,0.8214285714285714,0.7931034482758621,0.8070175438596491,0.6407888594226913,0.7931034482758621,0.8461538461538461,CRAJ730102_physicochemical_properties,42
GradientBoosting,0.4751192569732666,0.0066659927368164,0.7999807736337947,0.8009074410163339,0.8040325487176666,0.8009074410163339,0.7967479674796748,0.7704918032786885,0.8103448275862069,0.7899159663865546,0.5940155804141565,0.8103448275862069,0.7846153846153846,CRAJ730102_physicochemical_properties,42
ExtraTrees-ensemble,0.093812084197998,0.0099551677703857,0.8215741937325752,0.8220810647307925,0.8254676314937331,0.8220810647307925,0.8211382113821138,0.7903225806451613,0.8448275862068966,0.8166666666666667,0.6438037788617095,0.8448275862068966,0.8,CRAJ730102_physicochemical_properties,42
SVC,0.0101820468902587,0.0110159397125244,0.697456337940747,0.6993345432546885,0.7057085447899428,0.6993345432546885,0.6585365853658537,0.625,0.6896551724137931,0.6557377049180327,0.3201697275010997,0.6896551724137931,0.6307692307692307,ANDN920101_physicochemical_properties,42
KNN,0.0036465644836425,0.0100190639495849,0.7672913125499088,0.7693889897156685,0.7798303932957934,0.7693889897156685,0.7804878048780488,0.7540983606557377,0.7931034482758621,0.773109243697479,0.5614413867490021,0.7931034482758621,0.7692307692307693,ANDN920101_physicochemical_properties,42
DecisionTree,0.0103418827056884,0.0070715427398681,0.7971977420616685,0.7975801572897762,0.7995562301495273,0.7975801572897762,0.7723577235772358,0.7419354838709677,0.7931034482758621,0.7666666666666667,0.5460811978662464,0.7931034482758621,0.7538461538461538,ANDN920101_physicochemical_properties,42
RandomForest,0.127717924118042,0.0103230476379394,0.8040149050148766,0.8045977011494253,0.8066928020232862,0.8045977011494253,0.7967479674796748,0.7894736842105263,0.7758620689655172,0.782608695652174,0.5918750019390696,0.7758620689655172,0.8153846153846154,ANDN920101_physicochemical_properties,42
AdaBoost,0.1318199157714843,0.0130010604858398,0.7753757383169045,0.7764670296430732,0.7802811841352818,0.7764670296430732,0.7479674796747967,0.7288135593220338,0.7413793103448276,0.7350427350427351,0.4948318553348949,0.7413793103448276,0.7538461538461538,ANDN920101_physicochemical_properties,42
GradientBoosting,0.468267822265625,0.0067140102386474,0.8003071642718831,0.8009074410163339,0.8033439761916842,0.8009074410163339,0.8130081300813008,0.8070175438596491,0.7931034482758621,0.8,0.6245356682641058,0.7931034482758621,0.8307692307692308,ANDN920101_physicochemical_properties,42
ExtraTrees-ensemble,0.0975718021392822,0.0105655670166015,0.8217615491476608,0.8220205686630369,0.8242957739721394,0.8220205686630369,0.8211382113821138,0.8,0.8275862068965517,0.8135593220338984,0.6421197685365116,0.8275862068965517,0.8153846153846154,ANDN920101_physicochemical_properties,42
SVC,0.0156506061553955,0.0126091957092285,0.8316414494195152,0.8324258923169994,0.8414830921246528,0.8324258923169994,0.8292682926829268,0.8490566037735849,0.7758620689655172,0.8108108108108109,0.6580425608335816,0.7758620689655172,0.8769230769230769,ROBB760113_physicochemical_properties,42
KNN,0.0039849758148193,0.0109215259552001,0.733505736955568,0.7346642468239565,0.7397968495911205,0.7346642468239565,0.7479674796747967,0.7142857142857143,0.7758620689655172,0.743801652892562,0.4982785827628624,0.7758620689655172,0.7230769230769231,ROBB760113_physicochemical_properties,42
DecisionTree,0.0130681037902832,0.0066957473754882,0.7702879695793796,0.7728372655777374,0.783159613513486,0.7728372655777374,0.7235772357723578,0.6764705882352942,0.7931034482758621,0.7301587301587301,0.4564616979151369,0.7931034482758621,0.6615384615384615,ROBB760113_physicochemical_properties,42
RandomForest,0.1337691783905029,0.0106956481933593,0.831713033252061,0.8323653962492438,0.8384372162509196,0.8323653962492438,0.7967479674796748,0.8,0.7586206896551724,0.7787610619469026,0.5917490622913852,0.7586206896551724,0.8307692307692308,ROBB760113_physicochemical_properties,42
AdaBoost,0.1449138164520263,0.0138752937316894,0.8168523754172028,0.8182093163944343,0.8248185981720318,0.8182093163944343,0.7560975609756098,0.7121212121212122,0.8103448275862069,0.7580645161290323,0.5185876531121593,0.8103448275862069,0.7076923076923077,ROBB760113_physicochemical_properties,42
GradientBoosting,0.5837918758392334,0.0091169834136962,0.7999875411559086,0.8009074410163339,0.8044221182049178,0.8009074410163339,0.7804878048780488,0.746031746031746,0.8103448275862069,0.7768595041322314,0.5634442028371124,0.8103448275862069,0.7538461538461538,ROBB760113_physicochemical_properties,42
ExtraTrees-ensemble,0.098523998260498,0.0103463172912597,0.8565929463647199,0.856745311554749,0.8601668981427192,0.856745311554749,0.8048780487804879,0.8148148148148148,0.7586206896551724,0.7857142857142857,0.6083349197351124,0.7586206896551724,0.8461538461538461,ROBB760113_physicochemical_properties,42
