index,Encoder,Algorithm,F1,Recall,Precision,Accuracy,random_seed,Stage,Type-Encoder
63,CRAJ730102_physicochemical_properties,SVC,0.7415050780802889,0.7450695704779189,0.7568215478049016,0.7450695704779189,42,Training,PHY-Based
64,CRAJ730102_physicochemical_properties,KNN,0.76112335403679,0.7626134301270417,0.767713492711063,0.7626134301270417,42,Training,PHY-Based
65,CRAJ730102_physicochemical_properties,DecisionTree,0.7685349764571104,0.7695704779189352,0.7715178273019623,0.7695704779189352,42,Training,PHY-Based
66,CRAJ730102_physicochemical_properties,RandomForest,0.8143246858583169,0.8149425287356322,0.818029005241096,0.8149425287356322,42,Training,PHY-Based
67,CRAJ730102_physicochemical_properties,AdaBoost,0.7970225487993202,0.7973986690865094,0.7990594916383058,0.7973986690865094,42,Training,PHY-Based
68,CRAJ730102_physicochemical_properties,GradientBoosting,0.7999807736337947,0.8009074410163339,0.8040325487176666,0.8009074410163339,42,Training,PHY-Based
69,CRAJ730102_physicochemical_properties,ExtraTrees-ensemble,0.8215741937325752,0.8220810647307925,0.8254676314937331,0.8220810647307925,42,Training,PHY-Based
70,ANDN920101_physicochemical_properties,SVC,0.697456337940747,0.6993345432546885,0.7057085447899428,0.6993345432546885,42,Training,PHY-Based
71,ANDN920101_physicochemical_properties,KNN,0.7672913125499088,0.7693889897156685,0.7798303932957934,0.7693889897156685,42,Training,PHY-Based
72,ANDN920101_physicochemical_properties,DecisionTree,0.7971977420616685,0.7975801572897762,0.7995562301495273,0.7975801572897762,42,Training,PHY-Based
73,ANDN920101_physicochemical_properties,RandomForest,0.8040149050148766,0.8045977011494253,0.8066928020232862,0.8045977011494253,42,Training,PHY-Based
74,ANDN920101_physicochemical_properties,AdaBoost,0.7753757383169045,0.7764670296430732,0.7802811841352818,0.7764670296430732,42,Training,PHY-Based
75,ANDN920101_physicochemical_properties,GradientBoosting,0.8003071642718831,0.8009074410163339,0.8033439761916842,0.8009074410163339,42,Training,PHY-Based
76,ANDN920101_physicochemical_properties,ExtraTrees-ensemble,0.8217615491476608,0.8220205686630369,0.8242957739721394,0.8220205686630369,42,Training,PHY-Based
77,ROBB760113_physicochemical_properties,SVC,0.8316414494195152,0.8324258923169994,0.8414830921246528,0.8324258923169994,42,Training,PHY-Based
78,ROBB760113_physicochemical_properties,KNN,0.733505736955568,0.7346642468239565,0.7397968495911205,0.7346642468239565,42,Training,PHY-Based
79,ROBB760113_physicochemical_properties,DecisionTree,0.7702879695793796,0.7728372655777374,0.783159613513486,0.7728372655777374,42,Training,PHY-Based
80,ROBB760113_physicochemical_properties,RandomForest,0.831713033252061,0.8323653962492438,0.8384372162509196,0.8323653962492438,42,Training,PHY-Based
81,ROBB760113_physicochemical_properties,AdaBoost,0.8168523754172028,0.8182093163944343,0.8248185981720318,0.8182093163944343,42,Training,PHY-Based
82,ROBB760113_physicochemical_properties,GradientBoosting,0.7999875411559086,0.8009074410163339,0.8044221182049178,0.8009074410163339,42,Training,PHY-Based
83,ROBB760113_physicochemical_properties,ExtraTrees-ensemble,0.8565929463647199,0.856745311554749,0.8601668981427192,0.856745311554749,42,Training,PHY-Based
0,bepler_embedding,SVC,0.6408839779005525,1.0,0.4715447154471545,0.4715447154471545,42,Validation,NLP-Based
1,bepler_embedding,KNN,0.7288135593220338,0.7413793103448276,0.7166666666666667,0.7398373983739838,42,Validation,NLP-Based
2,bepler_embedding,DecisionTree,0.7619047619047619,0.8275862068965517,0.7058823529411765,0.7560975609756098,42,Validation,NLP-Based
3,bepler_embedding,RandomForest,0.8521739130434782,0.8448275862068966,0.8596491228070176,0.8617886178861789,42,Validation,NLP-Based
4,bepler_embedding,AdaBoost,0.8403361344537815,0.8620689655172413,0.819672131147541,0.8455284552845529,42,Validation,NLP-Based
5,bepler_embedding,GradientBoosting,0.8571428571428571,0.8793103448275862,0.8360655737704918,0.8617886178861789,42,Validation,NLP-Based
6,bepler_embedding,ExtraTrees-ensemble,0.8173913043478261,0.8103448275862069,0.8245614035087719,0.8292682926829268,42,Validation,NLP-Based
7,esm1b_embedding,SVC,0.6408839779005525,1.0,0.4715447154471545,0.4715447154471545,42,Validation,NLP-Based
8,esm1b_embedding,KNN,0.8,0.8620689655172413,0.746268656716418,0.7967479674796748,42,Validation,NLP-Based
9,esm1b_embedding,DecisionTree,0.7704918032786885,0.8103448275862069,0.734375,0.7723577235772358,42,Validation,NLP-Based
10,esm1b_embedding,RandomForest,0.8305084745762712,0.8448275862068966,0.8166666666666667,0.8373983739837398,42,Validation,NLP-Based
11,esm1b_embedding,AdaBoost,0.7967479674796748,0.8448275862068966,0.7538461538461538,0.7967479674796748,42,Validation,NLP-Based
12,esm1b_embedding,GradientBoosting,0.8403361344537815,0.8620689655172413,0.819672131147541,0.8455284552845529,42,Validation,NLP-Based
13,esm1b_embedding,ExtraTrees-ensemble,0.8448275862068966,0.8448275862068966,0.8448275862068966,0.8536585365853658,42,Validation,NLP-Based
14,esme_embedding,SVC,0.6394557823129252,0.8103448275862069,0.5280898876404494,0.5691056910569106,42,Validation,NLP-Based
15,esme_embedding,KNN,0.784,0.8448275862068966,0.7313432835820896,0.7804878048780488,42,Validation,NLP-Based
16,esme_embedding,DecisionTree,0.7387387387387387,0.7068965517241379,0.7735849056603774,0.7642276422764228,42,Validation,NLP-Based
17,esme_embedding,RandomForest,0.8521739130434782,0.8448275862068966,0.8596491228070176,0.8617886178861789,42,Validation,NLP-Based
18,esme_embedding,AdaBoost,0.8235294117647058,0.8448275862068966,0.8032786885245902,0.8292682926829268,42,Validation,NLP-Based
19,esme_embedding,GradientBoosting,0.8421052631578947,0.8275862068965517,0.8571428571428571,0.8536585365853658,42,Validation,NLP-Based
20,esme_embedding,ExtraTrees-ensemble,0.8521739130434782,0.8448275862068966,0.8596491228070176,0.8617886178861789,42,Validation,NLP-Based
21,onehot_embedding,SVC,0.7704918032786885,0.8103448275862069,0.734375,0.7723577235772358,42,Validation,One-Hot-Based
22,onehot_embedding,KNN,0.8360655737704918,0.8793103448275862,0.796875,0.8373983739837398,42,Validation,One-Hot-Based
23,onehot_embedding,DecisionTree,0.7768595041322314,0.8103448275862069,0.746031746031746,0.7804878048780488,42,Validation,One-Hot-Based
24,onehot_embedding,RandomForest,0.8205128205128205,0.8275862068965517,0.8135593220338984,0.8292682926829268,42,Validation,One-Hot-Based
25,onehot_embedding,AdaBoost,0.7768595041322314,0.8103448275862069,0.746031746031746,0.7804878048780488,42,Validation,One-Hot-Based
26,onehot_embedding,GradientBoosting,0.8264462809917356,0.8620689655172413,0.7936507936507936,0.8292682926829268,42,Validation,One-Hot-Based
27,onehot_embedding,ExtraTrees-ensemble,0.8521739130434782,0.8448275862068966,0.8596491228070176,0.8617886178861789,42,Validation,One-Hot-Based
28,ARGP820101_FFT,SVC,0.7719298245614035,0.7586206896551724,0.7857142857142857,0.7886178861788617,42,Validation,FFT-Based
29,ARGP820101_FFT,KNN,0.7741935483870968,0.8275862068965517,0.7272727272727273,0.7723577235772358,42,Validation,FFT-Based
30,ARGP820101_FFT,DecisionTree,0.6829268292682927,0.7241379310344828,0.6461538461538462,0.6829268292682927,42,Validation,FFT-Based
31,ARGP820101_FFT,RandomForest,0.8421052631578947,0.8275862068965517,0.8571428571428571,0.8536585365853658,42,Validation,FFT-Based
32,ARGP820101_FFT,AdaBoost,0.7796610169491526,0.7931034482758621,0.7666666666666667,0.7886178861788617,42,Validation,FFT-Based
33,ARGP820101_FFT,GradientBoosting,0.8067226890756303,0.8275862068965517,0.7868852459016393,0.8130081300813008,42,Validation,FFT-Based
34,ARGP820101_FFT,ExtraTrees-ensemble,0.8717948717948718,0.8793103448275862,0.864406779661017,0.8780487804878049,42,Validation,FFT-Based
35,CRAJ730102_FFT,SVC,0.672566371681416,0.6551724137931034,0.6909090909090909,0.6991869918699187,42,Validation,FFT-Based
36,CRAJ730102_FFT,KNN,0.7796610169491526,0.7931034482758621,0.7666666666666667,0.7886178861788617,42,Validation,FFT-Based
37,CRAJ730102_FFT,DecisionTree,0.7433628318584071,0.7241379310344828,0.7636363636363637,0.7642276422764228,42,Validation,FFT-Based
38,CRAJ730102_FFT,RandomForest,0.8073394495412844,0.7586206896551724,0.8627450980392157,0.8292682926829268,42,Validation,FFT-Based
39,CRAJ730102_FFT,AdaBoost,0.7692307692307693,0.7758620689655172,0.7627118644067796,0.7804878048780488,42,Validation,FFT-Based
40,CRAJ730102_FFT,GradientBoosting,0.7818181818181819,0.7413793103448276,0.8269230769230769,0.8048780487804879,42,Validation,FFT-Based
41,CRAJ730102_FFT,ExtraTrees-ensemble,0.8214285714285714,0.7931034482758621,0.8518518518518519,0.8373983739837398,42,Validation,FFT-Based
42,ANDN920101_FFT,SVC,0.6277372262773723,0.7413793103448276,0.5443037974683544,0.5853658536585366,42,Validation,FFT-Based
43,ANDN920101_FFT,KNN,0.7368421052631579,0.7241379310344828,0.75,0.7560975609756098,42,Validation,FFT-Based
44,ANDN920101_FFT,DecisionTree,0.7413793103448276,0.7413793103448276,0.7413793103448276,0.7560975609756098,42,Validation,FFT-Based
45,ANDN920101_FFT,RandomForest,0.8181818181818182,0.7758620689655172,0.8653846153846154,0.8373983739837398,42,Validation,FFT-Based
46,ANDN920101_FFT,AdaBoost,0.7796610169491526,0.7931034482758621,0.7666666666666667,0.7886178861788617,42,Validation,FFT-Based
47,ANDN920101_FFT,GradientBoosting,0.7894736842105263,0.7758620689655172,0.8035714285714286,0.8048780487804879,42,Validation,FFT-Based
48,ANDN920101_FFT,ExtraTrees-ensemble,0.8108108108108109,0.7758620689655172,0.8490566037735849,0.8292682926829268,42,Validation,FFT-Based
49,ROBB760113_FFT,SVC,0.8099173553719008,0.8448275862068966,0.7777777777777778,0.8130081300813008,42,Validation,FFT-Based
50,ROBB760113_FFT,KNN,0.8292682926829268,0.8793103448275862,0.7846153846153846,0.8292682926829268,42,Validation,FFT-Based
51,ROBB760113_FFT,DecisionTree,0.7008547008547008,0.7068965517241379,0.6949152542372882,0.7154471544715447,42,Validation,FFT-Based
52,ROBB760113_FFT,RandomForest,0.8275862068965517,0.8275862068965517,0.8275862068965517,0.8373983739837398,42,Validation,FFT-Based
53,ROBB760113_FFT,AdaBoost,0.7868852459016393,0.8275862068965517,0.75,0.7886178861788617,42,Validation,FFT-Based
54,ROBB760113_FFT,GradientBoosting,0.7967479674796748,0.8448275862068966,0.7538461538461538,0.7967479674796748,42,Validation,FFT-Based
55,ROBB760113_FFT,ExtraTrees-ensemble,0.8448275862068966,0.8448275862068966,0.8448275862068966,0.8536585365853658,42,Validation,FFT-Based
56,ARGP820101_physicochemical_properties,SVC,0.7522935779816514,0.7068965517241379,0.803921568627451,0.7804878048780488,42,Validation,PHY-Based
57,ARGP820101_physicochemical_properties,KNN,0.736,0.7931034482758621,0.6865671641791045,0.7317073170731707,42,Validation,PHY-Based
