p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,p_16,p_17,p_18,p_19,p_20,monomer_state
0.053097345,0.013274336,0.07522124,0.061946902,0.061946902,0.092920355,0.053097345,0.048672568,0.084070794,0.061946902,0.03539823,0.048672568,0.048672568,0.017699115,0.044247787,0.03539823,0.048672568,0.057522126,0.0088495575,0.0,0.048672568,0
0.053097345,0.013274336,0.07522124,0.061946902,0.061946902,0.092920355,0.048672568,0.048672568,0.084070794,0.061946902,0.03539823,0.048672568,0.048672568,0.017699115,0.044247787,0.03539823,0.057522126,0.053097345,0.0088495575,0.0,0.048672568,0
0.03539823,0.0,0.057522126,0.088495575,0.053097345,0.097345136,0.030973451,0.03982301,0.092920355,0.06637168,0.030973451,0.017699115,0.057522126,0.03982301,0.03982301,0.048672568,0.057522126,0.07522124,0.013274336,0.0,0.057522126,0
0.02991453,0.0,0.055555556,0.094017096,0.047008548,0.102564104,0.02991453,0.03846154,0.0982906,0.072649576,0.047008548,0.017094018,0.055555556,0.034188036,0.03846154,0.042735044,0.055555556,0.06410257,0.012820513,0.0,0.06410257,0
0.044715445,0.024390243,0.07317073,0.044715445,0.05691057,0.12195122,0.048780486,0.040650405,0.07317073,0.05284553,0.020325202,0.040650405,0.036585364,0.024390243,0.028455285,0.06097561,0.07317073,0.08130081,0.008130081,0.0,0.044715445,0
0.041984733,0.022900764,0.057251908,0.07251909,0.03816794,0.08396947,0.022900764,0.07633588,0.07251909,0.041984733,0.015267176,0.057251908,0.045801528,0.030534351,0.045801528,0.061068702,0.08015267,0.08396947,0.003816794,0.0,0.045801528,0
0.04,0.013333334,0.057777777,0.06666667,0.035555556,0.09777778,0.017777778,0.075555556,0.10222222,0.04,0.0044444446,0.031111112,0.053333335,0.022222223,0.04,0.075555556,0.053333335,0.10222222,0.0044444446,0.0,0.06666667,0
0.033613447,0.008403362,0.075630255,0.067226894,0.05462185,0.09243698,0.042016808,0.05042017,0.084033616,0.079831935,0.025210084,0.05462185,0.042016808,0.029411765,0.029411765,0.04621849,0.063025214,0.071428575,0.004201681,0.0,0.04621849,0
0.05263158,0.03508772,0.065789476,0.065789476,0.06140351,0.078947365,0.03508772,0.07017544,0.07017544,0.05263158,0.030701755,0.057017542,0.05263158,0.02631579,0.04385965,0.057017542,0.04385965,0.04385965,0.01754386,0.0,0.039473683,0
0.03652968,0.00456621,0.05022831,0.07305936,0.06849315,0.12328767,0.05022831,0.05022831,0.03652968,0.05936073,0.03652968,0.0456621,0.0456621,0.01369863,0.0456621,0.07305936,0.07305936,0.05936073,0.0,0.0,0.05479452,0
